TITLE,COUNTRY,ID,SIZE,URL,GEO,BOOST
Zvishavane,Zimbabwe,7e0ijQyp,1,/visit/zvishavane/7e0ijQyp,"[30.054968, -20.313942]",True
Masvingo,Zimbabwe,cX8aA2t9,1,/visit/masvingo/cX8aA2t9,"[30.83841, -20.079191]",True
Gweru,Zimbabwe,uI2EDXf4,1,/visit/gweru/uI2EDXf4,"[29.81208, -19.46853]",True
Harare,Zimbabwe,DJvMUXEV,7,/visit/harare/DJvMUXEV,"[31.03351, -17.825165]",True
Bulawayo,Zimbabwe,TD8w3YvH,2,/visit/bulawayo/TD8w3YvH,"[28.626478, -20.132507]",True
Mutare,Zimbabwe,Nb1OmNhI,1,/visit/mutare/Nb1OmNhI,"[32.650352, -18.97577]",True
Mazabuka,Zambia,4YgdFytz,2,/visit/mazabuka/4YgdFytz,"[27.749065, -15.861252]",False
Isoka,Zambia,6OD1KVnz,1,/visit/isoka/6OD1KVnz,"[32.636223, -10.153509]",False
Mansa,Zambia,JkIh1LJg,1,/visit/mansa/JkIh1LJg,"[28.888807, -11.189205]",False
Livingstone,Zambia,mv7Vgwfn,1,/visit/livingstone/mv7Vgwfn,"[25.828516, -17.851978]",False
Monze,Zambia,62y7hh0F,1,/visit/monze/62y7hh0F,"[27.473257, -16.280321]",False
Ndola,Zambia,DhrGF5IT,1,/visit/ndola/DhrGF5IT,"[28.649815, -12.990641]",False
Chingola,Zambia,Pqp3H431,1,/visit/chingola/Pqp3H431,"[27.854588, -12.541955]",False
Kitwe,Zambia,6VZ8qXoe,1,/visit/kitwe/6VZ8qXoe,"[28.217575, -12.8231945]",False
Kazungula,Zambia,ua8ne8nf,1,/visit/kazungula/ua8ne8nf,"[25.277832, -17.78061]",False
Chipata,Zambia,IUbjA7CL,5,/visit/chipata/IUbjA7CL,"[32.6447, -13.64451]",False
Mufulira,Zambia,IFI79yLM,2,/visit/mufulira/IFI79yLM,"[28.240967, -12.55027]",False
Lusaka,Zambia,XtKuKJai,19,/visit/lusaka/XtKuKJai,"[28.322817, -15.387526]",False
Kabwe,Zambia,FF9PXyio,1,/visit/kabwe/FF9PXyio,"[28.451357, -14.428506]",False
Choma,Zambia,eUrdF1AQ,1,/visit/choma/eUrdF1AQ,"[26.997015, -16.805422]",False
Kalomo,Zambia,PmoO8BCQ,1,/visit/kalomo/PmoO8BCQ,"[26.478397, -17.029905]",False
Aden,Yemen,CCW2kt1z,3,/visit/aden/CCW2kt1z,"[45.018654, 12.785497]",False
Ataq,Yemen,jgmoK9RV,1,/visit/ataq/jgmoK9RV,"[46.830128, 14.529565]",False
Al Ghaydah,Yemen,nQpIRu3N,1,/visit/al-ghaydah/nQpIRu3N,"[52.180614, 16.206049]",False
Tarim,Yemen,zYpFLbzj,1,/visit/tarim/zYpFLbzj,"[49.005985, 16.056711]",False
Seiyun,Yemen,f2fOUvXT,1,/visit/seiyun/f2fOUvXT,"[48.809566, 15.949543]",False
Sana'a,Yemen,2JoBHDl1,8,/visit/sana-a/2JoBHDl1,"[44.191006, 15.369445]",False
Marib,Yemen,bGfvZiKD,1,/visit/marib/bGfvZiKD,"[45.322857, 15.470031]",False
Matā'utu,Wallis and Futuna,7LaMPi2E,1,/visit/mata-utu/7LaMPi2E,"[-176.17645, -13.282509]",True
Hanoi,Vietnam,ylzzcPtE,1,/visit/hanoi/ylzzcPtE,"[105.83416, 21.027765]",True
San Felipe,Venezuela,4IdJwZrS,3,/visit/san-felipe/4IdJwZrS,"[-68.74531, 10.340192]",False
Maturin,Venezuela,KpTNUrpM,7,/visit/maturin/KpTNUrpM,"[-63.191433, 9.733391]",False
Carrizal Municipality,Venezuela,MeZWNGbL,1,/visit/carrizal-municipality/MeZWNGbL,"[-66.99284, 10.3618355]",False
El Manglillo,Venezuela,O3bhEmtZ,1,/visit/el-manglillo/O3bhEmtZ,"[-64.31497, 10.9597645]",False
El Vigía,Venezuela,EtQpF7sa,1,/visit/el-vigia/EtQpF7sa,"[-71.65547, 8.614427]",False
Guacara,Venezuela,71FM-d8E,1,/visit/guacara/71FM-d8E,"[-67.892746, 10.2647]",False
San Antonio de Los Altos,Venezuela,huhHRUYc,1,/visit/san-antonio-de-los-altos/huhHRUYc,"[-66.96084, 10.374151]",False
Trujillo,Venezuela,bWHrp6v3,1,/visit/trujillo/bWHrp6v3,"[-70.43724, 9.35645]",False
Turmero,Venezuela,n2KFHmPe,1,/visit/turmero/n2KFHmPe,"[-67.48741, 10.214562]",False
Guatire,Venezuela,UZS5wjzs,1,/visit/guatire/UZS5wjzs,"[-66.558105, 10.459746]",False
San Juan de Los Morros,Venezuela,WvS6x9sA,3,/visit/san-juan-de-los-morros/WvS6x9sA,"[-67.36146, 9.91267]",False
