stateabrev,radiocallsgn,trackname,trackartist,trackalbum,trackstyles,trackmp3filename,captureyear,capturemonth,captureday,capturehour,captureminute,capturesecond
WA,KACS,Less Like Me,Zach Williams,Rescue Story,"Gospel,Country,Country Rock",KACS2021_10_26_T12_00_26.mp3,2021,10,26,12,00,26
WA,KACS,Heaven Is The Face,Steven Curtis Chapman,Beauty Will Rise,"Gospel,Religious",KACS2021_10_27_T11_28_52.mp3,2021,10,27,11,28,52
WA,KACS,Bloodwashed Pilgrim,Crystal Lewis,(Hymns) My Life,"Gospel,Easy Listening",KACS2021_10_27_T12_31_59.mp3,2021,10,27,12,31,59
WA,KACS,To Cry for You,Carolyn Arends,To Cry for You,,KACS2021_10_27_T16_20_34.mp3,2021,10,27,16,20,34
WA,KACS,Christ In You [Instrumental],Integrity Music,Experience Hope [Instrumental],Religious,KACS2021_11_03_T14_33_11.mp3,2021,11,03,14,33,11
WA,KACS,My Jesus,Anne Wilson,My Jesus,Gospel,KACS2021_11_03_T15_33_54.mp3,2021,11,03,15,33,54
WA,KAOS,"A Love Supreme, Pt. II – Resolution (Live)",John Coltrane,A Love Supreme: Live In Seattle,,KAOS2021_10_25_T21_00_23.mp3,2021,10,25,21,00,23
WA,KAOS,The Way To Gone,Black Mountain,Wilderness Heart,"Blues Rock,Stoner Rock,Psychedelic Rock,Indie Rock",KAOS2021_11_03_T10_39_45.mp3,2021,11,03,10,39,45
WA,KAOS,Something,Chandra,Transportation,No Wave,KAOS2021_11_03_T14_43_08.mp3,2021,11,03,14,43,08
WA,KBFG,Mexico Esperanza,Dick Dale,Spacial Disorientation,Surf,KBFG2021_11_03_T11_25_47.mp3,2021,11,03,11,25,47
WA,KBFG,La Pistola Y El Corazón,Los Lobos,La Pistola Y El Corazon,"Norteño,Son,Ranchera,Mariachi",KBFG2021_11_03_T11_55_08.mp3,2021,11,03,11,55,08
WA,KCMS,Miracles,Colton Dixon,Miracles,,KCMS2021_10_25_T21_05_27.mp3,2021,10,25,21,05,27
WA,KCMS,Believe For It,CeCe Winans,Believe For It [Live],"Gospel,Vocal",KCMS2021_11_03_T10_53_34.mp3,2021,11,03,10,53,34
WA,KCMS,The Thanksgiving Song,Ben Rector,The Thanksgiving Song,,KCMS2021_11_03_T14_57_40.mp3,2021,11,03,14,57,40
WA,KDDS,Cómo Te Olvido,La Arrolladora Banda El Limón De René Camacho,Cómo Te Olvido,"Norteño,Corrido,Cumbia,Tejano",KDDS2021_10_26_T12_10_54.mp3,2021,10,26,12,10,54
