CALLSIGN,LAT,LONG,ERP,HAAT,60dBu_DIST
KACS,46.730556,-123.025833,6.0,57,21.947963124000612
KAOS,47.015833,-122.917222,1.25,74,16.686530048982274
KBCS,47.543889,-122.109167,1.8,389,40.24713735457537
KBFG,47.6675,-122.355,0.009,95.94,5.546802345824072
KCMS,47.544167,-122.108333,54.0,385,72.27968510959695
KDDS,47.3125,-123.372222,64.0,742,92.46147030557536
KEFA,47.382778,-120.293333,0.1,-71,5.636484552739638
KEGX,46.099167,-119.128889,100.0,424.4,81.53289660363635
KEWU,47.578611,-117.298333,10.0,429,57.87906577878343
KEXP,47.615833,-122.308889,4.7,211,37.699469101964276
KEZE,47.725833,-117.169444,8.2,365,52.41110161065899
KFAE,46.095,-119.195833,100.0,350,76.08200114099603
KGHI,46.919444,-123.955278,1.9,18,11.860071731882849
KGHP,47.240556,-122.772222,1.35,61,15.40239636720177
KGRG,47.256111,-122.219722,0.23,116,13.549143392379163
KHUH,47.613056,-122.305,0.015,78,5.677021926807619
KIEV,45.656111,-122.385556,0.1,30,5.636484552739638
KING,47.503611,-121.975833,66.0,707,91.52505920972241
KIRO,47.503611,-121.975833,52.0,729,89.84795880451641
KMIH,47.572222,-122.219167,0.03,69,6.308638434718077
KMRE,48.7475,-122.479167,0.1,-13.49,5.636484552739638
KNHC,47.542778,-122.108056,8.5,372,53.15792740104593
KNKX,47.503611,-121.975833,64.0,707,91.20735125729297
KODX,47.659167,-122.312222,0.038,48.5,5.60843018145328
KOSW,46.984167,-124.153889,0.076,35.23,5.651726648409045
KPBX,47.570278,-117.084444,56.0,725,90.47088282971797
KPBZ,47.813333,-117.5075,0.55,329.7,28.409385916819506
KPLW,47.323333,-120.234444,7.0,424,54.19312511642871
KPTZ,48.128056,-122.828889,2.2,102,22.77963189983196
KROH,48.015833,-122.926111,1.15,456,39.510279063877526
KSER,48.024167,-122.1125,5.8,92,26.994632562428425
KSQM,48.083333,-123.267222,2.05,-62,12.075180950817854
KTAH,47.221389,-122.469722,0.016,69.11,5.429665161716908
KTQA,47.239167,-122.446111,0.019,69,5.659309398964576
KUGS,48.735556,-122.482778,0.81,137,20.60806245705028
KUKN,46.162778,-122.854722,0.7,256,26.620990388342705
KUOW,47.615833,-122.308889,100.0,224,66.02946487449852
KUPS,47.263056,-122.478056,0.1,70,8.638738241489799
KWCW,46.069444,-118.331944,0.16,-16,6.340286721485818
KXDD,46.513056,-120.4025,100.0,245,67.82809478240443
KXLY,47.921667,-117.114444,37.0,914,91.89798543897481
KYRS,48.180556,-117.9875,6.8,876,72.62418440911082
KYYO,47.085556,-123.189444,11.0,321,52.353900396986226
KZAX,48.7475,-122.479167,0.1,-17.49,5.636484552739638
KZQM,48.125833,-123.117222,6.0,22,15.75265822405099
KZTM,46.975,-123.140556,70.0,668,90.70930089839096
KZZU,47.595,-117.299167,81.0,634,90.94125916238319
