Country,CityState,City,StateAbv,StationName,RG_ID,RG_LC,CS,Type,RG_URL,URL,CityCords
United States,Spokane WA,Spokane,WA,92.9 ZZU - KZZU-FM,8VcFeepP,/listen/kzzu/8VcFeepP,KZZU,FM,https://radio.garden/api/ara/content/listen/8VcFeepP/channel.mp3?,https://15373.live.streamtheworld.com/KZZUFMAAC_SC,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,Coyote Country - KEZE,FUCv80QQ,/listen/coyotecountry969/FUCv80QQ,KEZE,FM,https://radio.garden/api/ara/content/listen/FUCv80QQ/channel.mp3?,https://17963.live.streamtheworld.com/KEZEFMAAC.aac,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,KPBX 91.1 Spokane Public Radio,6OP3QxSa,/listen/spokane-public-radio-kpbx-91-1/6OP3QxSa,KPBX,FM,https://radio.garden/api/ara/content/listen/6OP3QxSa/channel.mp3?,https://18733.live.streamtheworld.com/KPBX_FM.mp3,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,KPBZ 90.3 Spokane Public Radio,WDXAsse3,/listen/spokanepublicradio/WDXAsse3,KPBZ,FM,https://radio.garden/api/ara/content/listen/WDXAsse3/channel.mp3?,https://24883.live.streamtheworld.com/KPBZ_FM.mp3,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,KYRS FM 88.1,ocrbM9-Q,/listen/kyrs-fm-88-1/ocrbM9-Q,KYRS,FM,https://radio.garden/api/ara/content/listen/ocrbM9-Q/channel.mp3?,https://www.ophanim.net:8444/s/7170,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,The Big 99.9 FM - KXLY,gTuWJpFb,/listen/the-big-99-9-fm-kxly/gTuWJpFb,KXLY,FM,https://radio.garden/api/ara/content/listen/gTuWJpFb/channel.mp3?,https://13693.live.streamtheworld.com/KXLYFMAAC.aac,"[-117.42605, 47.65878]"
United States,Walla Walla WA,Walla Walla,WA,KWCW FM 90.5,eAUlOwWE,/listen/kwcw-fm-90-5/eAUlOwWE,KWCW,FM,https://radio.garden/api/ara/content/listen/eAUlOwWE/channel.mp3?,http://shoutcast.whitman.edu:8000/;,"[-118.34302, 46.06458]"
United States,Bellingham WA,Bellingham,WA,KMRE-LP FM 102.3,kba-FOGc,/listen/kmre-lp-fm-102-3/kba-FOGc,KMRE,FM,https://radio.garden/api/ara/content/listen/kba-FOGc/channel.mp3?,http://199.180.75.2:9391/;,"[-122.47868, 48.75191]"
United States,Bellingham WA,Bellingham,WA,KUGS-FM - KUGS,2xBFo2iv,/listen/wwu/2xBFo2iv,KUGS,FM,https://radio.garden/api/ara/content/listen/2xBFo2iv/channel.mp3?,http://peridot.streamguys.com:7170/kugs-mp3,"[-122.47868, 48.75191]"
United States,Bellingham WA,Bellingham,WA,KZAX-LP FM 94.9,U2Ko9mrJ,/listen/kzax-lp-fm-94-9/U2Ko9mrJ,KZAX,FM,https://radio.garden/api/ara/content/listen/U2Ko9mrJ/channel.mp3?,http://199.180.75.2:9395/stream/;,"[-122.47868, 48.75191]"
United States,Olympia WA,Olympia,WA,KAOS (Community) Radio,FFttcZfb,/listen/kaos-community-radio/FFttcZfb,KAOS,FM,https://radio.garden/api/ara/content/listen/FFttcZfb/channel.mp3?,http://205.134.192.90:8930/;,"[-122.900696, 47.037872]"
United States,Olympia WA,Olympia,WA,KOWA FM 106.5,N7xfo9lr,/listen/kowalp/N7xfo9lr,KOWA,FM,https://radio.garden/api/ara/content/listen/N7xfo9lr/channel.mp3?,https://kowa.out.airtime.pro/kowa_b,"[-122.900696, 47.037872]"
United States,Auburn WA,Auburn,WA,KGRG2 89.9 FM,WFBDSNJv,/listen/kgrg2-89-9-fm/WFBDSNJv,KGRG,FM,https://radio.garden/api/ara/content/listen/WFBDSNJv/channel.mp3?,http://204.141.167.19:7090/stream?1573141452215.mp3,"[-122.228455, 47.307323]"
United States,Auburn WA,Auburn,WA,La Gran D - KDDS-FM,yQDKKVob,/listen/lagranderadio/yQDKKVob,KDDS,FM,https://radio.garden/api/ara/content/listen/yQDKKVob/channel.mp3?,http://bustosradio.com:8031/kdds,"[-122.228455, 47.307323]"
United States,Kelso WA,Kelso,WA,KUKN 105.5,8gPA9XVc,/listen/kukn-105-5/8gPA9XVc,KUKN,FM,https://radio.garden/api/ara/content/listen/8gPA9XVc/channel.mp3?,http://www.streamcontrol.net:11060/;,"[-122.90845, 46.14678]"
United States,East Wenatchee WA,East Wenatchee,WA,KORE-LP,4VFrxwqu,/listen/kore-lp/4VFrxwqu,KORE,FM,https://radio.garden/api/ara/content/listen/4VFrxwqu/channel.mp3?,https://streams.radio.co/s46e7c30d5/listen,"[-120.29313, 47.415684]"
United States,Port Townsend WA,Port Townsend,WA,KPTZ FM 91.9,fn0i7gM5,/listen/kptz/fn0i7gM5,KPTZ,FM,https://radio.garden/api/ara/content/listen/fn0i7gM5/channel.mp3?,https://kptz.streamguys1.com/live-mp3,"[-122.760445, 48.11704]"
United States,Port Townsend WA,Port Townsend,WA,KROH FM 91.1 Radio of Hope,2Cak9tEF,/listen/radioofhope/2Cak9tEF,KROH,FM,https://radio.garden/api/ara/content/listen/2Cak9tEF/channel.mp3?,https://ice10.securenetsystems.net/KROH,"[-122.760445, 48.11704]"
United States,Wenatchee WA,Wenatchee,WA,KEFA 102.9 FM,MNxShvBl,/listen/kefa-102-9-fm/MNxShvBl,KEFA,FM,https://radio.garden/api/ara/content/listen/MNxShvBl/channel.mp3?,https://www.streamvortex.com:8444/s/11160,"[-120.31035, 47.42346]"
United States,Everett WA,Everett,WA,KKXA FM 101.1,Xxp8gr5U,/listen/kkxa-1520am-and-101-1-fm/Xxp8gr5U,KKXA,FM,https://radio.garden/api/ara/content/listen/Xxp8gr5U/channel.mp3?,http://www.ophanim.net:9410/;,"[-122.20208, 47.978985]"
United States,Everett WA,Everett,WA,KSER,EwREGFq6,/listen/kser/EwREGFq6,KSER,FM,https://radio.garden/api/ara/content/listen/EwREGFq6/channel.mp3?,http://jade.streamguys1.com:4050/live,"[-122.20208, 47.978985]"
United States,Richland WA,Richland,WA,Eagle 106.5 - KEGX,AMp4lGuP,/listen/eagle1065/AMp4lGuP,KEGX,FM,https://radio.garden/api/ara/content/listen/AMp4lGuP/channel.mp3?,https://ice5.securenetsystems.net/KEGX,"[-119.28446, 46.28569]"
