Country,CityState,City,StateAbv,StationName,RG_ID,RG_LC,CS,Type,RG_URL,URL,CityCords
United States,Kent WA,Kent,WA,East West Plug Hip Hop Radio,lY6a6JbY,/listen/east-west-plug-hip-hop-radio/lY6a6JbY,xxxx,,https://radio.garden/api/ara/content/listen/lY6a6JbY/channel.mp3?,https://listen.radioking.com/radio/351568/stream/400639,"[-122.23484, 47.38093]"
United States,Kent WA,Kent,WA,Radio Punjab AM 1560,Y8hlSIs-,/listen/radio-punjab-am-1560/Y8hlSIs-,xxxx,,https://radio.garden/api/ara/content/listen/Y8hlSIs-/channel.mp3?,https://stream.zeno.fm/c30rk1318s5tv,"[-122.23484, 47.38093]"
United States,Spokane WA,Spokane,WA,92.9 ZZU - KZZU-FM,8VcFeepP,/listen/kzzu/8VcFeepP,KZZU,FM,https://radio.garden/api/ara/content/listen/8VcFeepP/channel.mp3?,https://15373.live.streamtheworld.com/KZZUFMAAC_SC,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,American Christian Network,r6CxHnkc,/listen/american-christian-network/r6CxHnkc,xxxx,,https://radio.garden/api/ara/content/listen/r6CxHnkc/channel.mp3?,http://www.ophanim.net:9720/;,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,Coyote Country - KEZE,FUCv80QQ,/listen/coyotecountry969/FUCv80QQ,KEZE,FM,https://radio.garden/api/ara/content/listen/FUCv80QQ/channel.mp3?,https://17963.live.streamtheworld.com/KEZEFMAAC.aac,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,KPBX 91.1 Spokane Public Radio,6OP3QxSa,/listen/spokane-public-radio-kpbx-91-1/6OP3QxSa,KPBX,FM,https://radio.garden/api/ara/content/listen/6OP3QxSa/channel.mp3?,https://18733.live.streamtheworld.com/KPBX_FM.mp3,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,KPBZ 90.3 Spokane Public Radio,WDXAsse3,/listen/spokanepublicradio/WDXAsse3,KPBZ,FM,https://radio.garden/api/ara/content/listen/WDXAsse3/channel.mp3?,https://24883.live.streamtheworld.com/KPBZ_FM.mp3,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,KXLX AM 700,M46RvVSz,/listen/700espn/M46RvVSz,KXLX,AM,https://radio.garden/api/ara/content/listen/M46RvVSz/channel.mp3?,https://15383.live.streamtheworld.com/KXLXAMAAC.aac,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,KYRS FM 88.1,ocrbM9-Q,/listen/kyrs-fm-88-1/ocrbM9-Q,KYRS,FM,https://radio.garden/api/ara/content/listen/ocrbM9-Q/channel.mp3?,https://www.ophanim.net:8444/s/7170,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,News Radio 920 - KXLY,TB4BDfP0,/listen/kxly920/TB4BDfP0,Xxxx,,https://radio.garden/api/ara/content/listen/TB4BDfP0/channel.mp3?,https://22973.live.streamtheworld.com/KXLYAMAAC.aac,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,Rock 94½ - KHTQ,7CmdbBFv,/listen/rock-94-1-2-khtq/7CmdbBFv,xxxx,,https://radio.garden/api/ara/content/listen/7CmdbBFv/channel.mp3?,https://15363.live.streamtheworld.com/KHTQFMAAC.aac,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,Shine 104.9 FM,ivWXLvFj,/listen/shine-104-9-fm/ivWXLvFj,xxxx,,https://radio.garden/api/ara/content/listen/ivWXLvFj/channel.mp3?,https://ic2.sslstream.com/keeh-fm,"[-117.42605, 47.65878]"
United States,Spokane WA,Spokane,WA,The Big 99.9 FM - KXLY,gTuWJpFb,/listen/the-big-99-9-fm-kxly/gTuWJpFb,KXLY,FM,https://radio.garden/api/ara/content/listen/gTuWJpFb/channel.mp3?,https://13693.live.streamtheworld.com/KXLYFMAAC.aac,"[-117.42605, 47.65878]"
United States,Walla Walla WA,Walla Walla,WA,KWCW FM 90.5,eAUlOwWE,/listen/kwcw-fm-90-5/eAUlOwWE,KWCW,FM,https://radio.garden/api/ara/content/listen/eAUlOwWE/channel.mp3?,http://shoutcast.whitman.edu:8000/;,"[-118.34302, 46.06458]"
United States,Walla Walla WA,Walla Walla,WA,"🚨 Walla Walla Police, Fire & EMS",fkB-Ibzk,/listen/walla-walla-police-fire-ems/fkB-Ibzk,xxxx,,https://radio.garden/api/ara/content/listen/fkB-Ibzk/channel.mp3?,https://broadcastify.cdnstream1.com/8015,"[-118.34302, 46.06458]"
